country,scenario,year,variable,value
CY,3_no_pol_ep_low_pef,2030,Primary energy factor,2.3652027
CY,3_no_pol_ep_low_pef,2033,Primary energy factor,2.19689
CY,3_no_pol_ep_low_pef,2035,Primary energy factor,2.0846815
CY,3_no_pol_ep_low_pef,2040,Primary energy factor,1.8041605
CY,3_no_pol_ep_low_pef,2045,Primary energy factor,1.2431183
CY,3_no_pol_ep_low_pef,START,Primary energy factor,2.8701408
CY,4_low_pol_co2_75,START,Primary energy factor,2.8701408
CY,5_low_pol_co2_75_low_pef,2030,Primary energy factor,2.3652027
CY,5_low_pol_co2_75_low_pef,2033,Primary energy factor,2.19689
CY,5_low_pol_co2_75_low_pef,2035,Primary energy factor,2.0846815
CY,5_low_pol_co2_75_low_pef,2040,Primary energy factor,1.8041605
CY,5_low_pol_co2_75_low_pef,2045,Primary energy factor,1.2431183
CY,5_low_pol_co2_75_low_pef,START,Primary energy factor,2.8701408
CY,6_co2_300,START,Primary energy factor,2.8701408
CY,7_co2_300_low_pef,2030,Primary energy factor,2.3652027
CY,7_co2_300_low_pef,2033,Primary energy factor,2.19689
CY,7_co2_300_low_pef,2035,Primary energy factor,2.0846815
CY,7_co2_300_low_pef,2040,Primary energy factor,1.8041605
CY,7_co2_300_low_pef,2045,Primary energy factor,1.2431183
CY,7_co2_300_low_pef,START,Primary energy factor,2.8701408
CY,8_nofoss_co2_75,START,Primary energy factor,2.8701408
CY,9_nofoss_co2_75_low_pef,2030,Primary energy factor,2.3652027
CY,9_nofoss_co2_75_low_pef,2033,Primary energy factor,2.19689
CY,9_nofoss_co2_75_low_pef,2035,Primary energy factor,2.0846815
CY,9_nofoss_co2_75_low_pef,2040,Primary energy factor,1.8041605
CY,9_nofoss_co2_75_low_pef,2045,Primary energy factor,1.2431183
CY,9_nofoss_co2_75_low_pef,START,Primary energy factor,2.8701408
CZ,0_no_pol_cep,START,Primary energy factor,3.1536689
CZ,1_no_pol_cep_low_pef,2030,Primary energy factor,2.5721784
CZ,1_no_pol_cep_low_pef,2033,Primary energy factor,2.378348
CZ,1_no_pol_cep_low_pef,2035,Primary energy factor,2.2491279
CZ,1_no_pol_cep_low_pef,2040,Primary energy factor,1.9260776
CZ,1_no_pol_cep_low_pef,2045,Primary energy factor,1.279977
CZ,1_no_pol_cep_low_pef,START,Primary energy factor,3.1536689
CZ,2_no_pol_ep,START,Primary energy factor,3.1536689
CZ,3_no_pol_ep_low_pef,2030,Primary energy factor,2.5721784
CZ,3_no_pol_ep_low_pef,2033,Primary energy factor,2.378348
CZ,3_no_pol_ep_low_pef,2035,Primary energy factor,2.2491279
CZ,3_no_pol_ep_low_pef,2040,Primary energy factor,1.9260776
CZ,3_no_pol_ep_low_pef,2045,Primary energy factor,1.279977
