country,scenario,pef_assumption,year,type,data_type_id,unit_id,portion,value,service_factor
Finland,Economics,constant,2045,PED,PED_excl_sf,GWh/yr,WPBs,43491.3092535174,excl. service factor
Finland,Economics,constant,2045,PED,PED_excl_sf,GWh/yr,other,24704.36857770755,excl. service factor
Finland,Economics,constant,2045,PED,PED_excl_sf,GWh/yr,total,68195.67783122495,excl. service factor
Finland,Economics,constant,2045,PED share,PED_excl_sf,-,WPB reduction,0.1717101994688392,excl. service factor
Finland,Economics,constant,2045,PED share,PED_excl_sf,-,other reduction,0.0267688305527689,excl. service factor
Finland,Economics,constant,2045,PED share,PED_excl_sf,-,remainder,0.801520969978392,excl. service factor
Finland,Economics,constant,2045,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,148.0700692607219,area-scaled PED_excl_sf
Finland,Economics,constant,2045,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,84.10824206327422,area-scaled PED_excl_sf
Finland,Economics,constant,2045,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,232.1783113239961,area-scaled PED_excl_sf
Finland,Economics,constant,2045,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.1791420048474578,area-scaled PED_excl_sf
Finland,Economics,constant,2045,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,0.03099031899315965,area-scaled PED_excl_sf
Finland,Economics,constant,2045,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.7898676761593826,area-scaled PED_excl_sf
Finland,Economics,constant,2050,PED,PED_excl_sf,GWh/yr,WPBs,39570.54311467129,excl. service factor
Finland,Economics,constant,2050,PED,PED_excl_sf,GWh/yr,other,23882.46534927465,excl. service factor
Finland,Economics,constant,2050,PED,PED_excl_sf,GWh/yr,total,63453.00846394594,excl. service factor
Finland,Economics,constant,2050,PED share,PED_excl_sf,-,WPB reduction,0.2177919509611232,excl. service factor
Finland,Economics,constant,2050,PED share,PED_excl_sf,-,other reduction,0.03642886611268053,excl. service factor
Finland,Economics,constant,2050,PED share,PED_excl_sf,-,remainder,0.7457791829261963,excl. service factor
Finland,Economics,constant,2050,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,134.5607305691112,area-scaled PED_excl_sf
Finland,Economics,constant,2050,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,81.21298653589572,area-scaled PED_excl_sf
Finland,Economics,constant,2050,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,215.7737171050069,area-scaled PED_excl_sf
Finland,Economics,constant,2050,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.225100604072095,area-scaled PED_excl_sf
Finland,Economics,constant,2050,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,0.04083994164851103,area-scaled PED_excl_sf
Finland,Economics,constant,2050,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.7340594542793941,area-scaled PED_excl_sf
Finland,Economics,decreasing,2020,PED,PED_excl_sf,GWh/yr,WPBs,65546.58252950234,excl. service factor
Finland,Economics,decreasing,2020,PED,PED_excl_sf,GWh/yr,other,19536.25420908409,excl. service factor
Finland,Economics,decreasing,2020,PED,PED_excl_sf,GWh/yr,total,85082.83673858643,excl. service factor
Finland,Economics,decreasing,2020,PED share,PED_excl_sf,-,WPB reduction,0.0,excl. service factor
Finland,Economics,decreasing,2020,PED share,PED_excl_sf,-,other reduction,0.0,excl. service factor
Finland,Economics,decreasing,2020,PED share,PED_excl_sf,-,remainder,1.0,excl. service factor
Finland,Economics,decreasing,2020,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,226.4516027207374,area-scaled PED_excl_sf
Finland,Economics,decreasing,2020,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,67.49422938740713,area-scaled PED_excl_sf
Finland,Economics,decreasing,2020,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,293.9458321081445,area-scaled PED_excl_sf
Finland,Economics,decreasing,2020,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.0,area-scaled PED_excl_sf
Finland,Economics,decreasing,2020,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,0.0,area-scaled PED_excl_sf
Finland,Economics,decreasing,2020,area-specific PED share,area-scaled PED_excl_sf,-,remainder,1.0,area-scaled PED_excl_sf
Finland,Economics,decreasing,2025,PED,PED_excl_sf,GWh/yr,WPBs,57558.91360565147,excl. service factor
Finland,Economics,decreasing,2025,PED,PED_excl_sf,GWh/yr,other,26090.85832377154,excl. service factor
Finland,Economics,decreasing,2025,PED,PED_excl_sf,GWh/yr,total,83649.771929423,excl. service factor
Finland,Economics,decreasing,2025,PED share,PED_excl_sf,-,WPB reduction,0.09388108377712721,excl. service factor
Finland,Economics,decreasing,2025,PED share,PED_excl_sf,-,other reduction,-0.07703791229747316,excl. service factor
Finland,Economics,decreasing,2025,PED share,PED_excl_sf,-,remainder,0.9831568285203459,excl. service factor
Finland,Economics,decreasing,2025,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,197.7247303442431,area-scaled PED_excl_sf
